"message_id","user_id","user_is_bot","user_first_name","chat_id","chat_type","text","date","context_date"
,,,,"-1002164723024",,,,"2024-07-18"
,,,,"-1002164723024",,,,"2024-07-18"
"49","1483604054","false","Gabriel","-1002164723024","supergroup","teste","1721305217","2024-07-18"
"49","1483604054","false","Gabriel","-1002164723024","supergroup","teste","1721305217","2024-07-18"
"50","1483604054","false","Gabriel","-1002164723024","supergroup","teste","1721306381","2024-07-18"
"51","1483604054","false","Gabriel","-1002164723024","supergroup","voltou a vida","1721306419","2024-07-18"
"52","1483604054","false","Gabriel","-1002164723024","supergroup","amém","1721306421","2024-07-18"
"53","1483604054","false","Gabriel","-1002164723024","supergroup","Agora testando a API Getway","1721306503","2024-07-18"
"54","6373880732","false","Dayra","-1002164723024","supergroup","Boaa!","1721308592","2024-07-18"
"19","1483604054","false","Gabriel","-1002164723024","supergroup","","1721131723","2024-07-16"
"20","1483604054","false","Gabriel","-1002164723024","supergroup","Te adicionei para me ajudar com as mensagens.","1721131752","2024-07-16"
"21","1483604054","false","Gabriel","-1002164723024","supergroup","Lembrando que as mensagens  enviadas ficarão armazenadas no banco de dados","1721131797","2024-07-16"
"22","1483604054","false","Gabriel","-1002164723024","supergroup","Como você está?","1721131841","2024-07-16"
"23","6373880732","false","Dayra","-1002164723024","supergroup","Estou bem! E você?","1721131895","2024-07-16"
"24","1483604054","false","Gabriel","-1002164723024","supergroup","Tudo ótimo","1721131927","2024-07-16"
"25","1483604054","false","Gabriel","-1002164723024","supergroup","Tirando o frio, está ótimo","1721131955","2024-07-16"
"26","1483604054","false","Gabriel","-1002164723024","supergroup","Vamos ver se você é pé quente hoje, espero que seja um jogo top","1721131980","2024-07-16"
"27","6373880732","false","Dayra","-1002164723024","supergroup","Sim!!!","1721132030","2024-07-16"
"28","6373880732","false","Dayra","-1002164723024","supergroup","Deu até frio na barriga haha","1721132047","2024-07-16"
"29","1483604054","false","Gabriel","-1002164723024","supergroup","Funcionou as funções!","1721246192","2024-07-17"
"30","1483604054","false","Gabriel","-1002164723024","supergroup","Uma para transformar os dados brutos em parquet","1721246209","2024-07-17"
"31","1483604054","false","Gabriel","-1002164723024","supergroup","E a outra em atualizar automaticamente a partição para tabela que criei no banco de dados","1721246249","2024-07-17"
"32","6373880732","false","Dayra","-1002164723024","supergroup","O que é parquet?","1721249375","2024-07-17"
"33","6373880732","false","Dayra","-1002164723024","supergroup","Desculpa a demora* não","1721249383","2024-07-17"
